Date Time,High,Open,Low,Close,Volume,Adj Close
2018-06-01 08:00:00,12.21,12.21,12.199,12.204,8779.536261,12.204
2018-06-01 08:05:00,12.298,12.219,12.212,12.254,38140.901717,12.254
2018-06-01 08:10:00,12.264,12.254,12.204,12.224,21932.655497,12.224
2018-06-01 08:15:00,12.245,12.223,12.223,12.241,5951.699817,12.241
2018-06-01 08:20:00,12.29,12.23,12.205,12.24,27010.997237,12.24
2018-06-01 08:25:00,12.246,12.235,12.206,12.246,15715.725865,12.246
2018-06-01 08:30:00,12.258,12.246,12.222,12.229,9922.092076,12.229
2018-06-01 08:35:00,12.25,12.232,12.219,12.243,19576.118283,12.243
2018-06-01 08:40:00,12.268,12.241,12.235,12.242,12715.618221,12.242
2018-06-01 08:45:00,12.262,12.252,12.237,12.254,7638.237496,12.254
2018-06-01 08:50:00,12.261,12.25,12.224,12.224,6093.364683,12.224
2018-06-01 08:55:00,12.247,12.225,12.224,12.237,7085.965617,12.237
2018-06-01 09:00:00,12.257,12.225,12.188,12.189,69846.541618,12.189
2018-06-01 09:05:00,12.218,12.199,12.174,12.193,19677.62734,12.193
2018-06-01 09:10:00,12.22,12.181,12.181,12.2,15482.799055,12.2
2018-06-01 09:15:00,12.24,12.191,12.191,12.23,15739.097292,12.23
2018-06-01 09:20:00,12.25,12.227,12.226,12.248,6327.630851,12.248
2018-06-01 09:25:00,12.246,12.242,12.242,12.243,3072.229681,12.243
2018-06-01 09:30:00,12.243,12.242,12.223,12.225,12032.021406,12.225
2018-06-01 09:35:00,12.238,12.223,12.176,12.199,127263.090477,12.199
2018-06-01 09:40:00,12.21,12.199,12.16,12.165,78094.169232,12.165
2018-06-01 09:45:00,12.18,12.162,12.159,12.168,17604.114716,12.168
2018-06-01 09:50:00,12.17,12.17,12.143,12.150016,24946.283938,12.150016
2018-06-01 09:55:00,12.17,12.150921,12.135,12.149,69794.323257,12.149
2018-06-01 10:00:00,12.2,12.149,12.13,12.2,26770.380993,12.2
2018-06-01 10:05:00,12.2,12.2,12.159,12.185,8555.002028,12.185
2018-06-01 10:10:00,12.259,12.185,12.185,12.25,11179.539115,12.25
2018-06-01 10:15:00,12.279,12.257,12.186921,12.219,28783.215201,12.219
2018-06-01 10:20:00,12.217,12.212,12.169,12.211,8192.847718,12.211
2018-06-01 10:25:00,12.263,12.204,12.169,12.242,21610.233401,12.242
2018-06-01 10:30:00,12.241,12.24,12.209,12.221,12140.263095,12.221
2018-06-01 10:35:00,12.233,12.233,12.209,12.218,4063.872235,12.218
2018-06-01 10:40:00,12.224,12.22,12.208,12.209,4456.966999,12.209
2018-06-01 10:45:00,12.253638,12.209,12.208,12.241,5127.823021,12.241
2018-06-01 10:50:00,12.249,12.241,12.224,12.236,1616.236776,12.236
2018-06-01 10:55:00,12.243,12.243,12.228,12.234,1697.776749,12.234
2018-06-01 11:00:00,12.244,12.234,12.208,12.231,3984.726949,12.231
2018-06-01 11:05:00,12.231,12.231,12.175,12.213,14994.8174,12.213
2018-06-01 11:10:00,12.248,12.22,12.204,12.243,5470.689478,12.243
2018-06-01 11:15:00,12.242,12.232,12.228,12.241,2229.388978,12.241
2018-06-01 11:20:00,12.254,12.233,12.233,12.254,6337.451005,12.254
2018-06-01 11:25:00,12.339,12.254,12.253,12.309,33486.85756,12.309
2018-06-01 11:30:00,12.338,12.31,12.293,12.318578,7484.160148,12.318578
2018-06-01 11:35:00,12.331,12.317,12.3,12.317,14277.388133,12.317
2018-06-01 11:40:00,12.324,12.318,12.298,12.324,9239.489231,12.324
2018-06-01 11:45:00,12.327,12.324,12.204,12.224,64679.118764,12.224
2018-06-01 11:50:00,12.263,12.225,12.192,12.224,52490.375674,12.224
2018-06-01 11:55:00,12.241,12.238,12.2,12.202114,41926.348659,12.202114
2018-06-01 12:00:00,12.215,12.215,11.932,12.045,246783.398651,12.045
2018-06-01 12:05:00,12.112,12.043,11.995,12.108,44566.325635,12.108
2018-06-01 12:10:00,12.125,12.105,12.064,12.111,11361.800015,12.111
2018-06-01 12:15:00,12.125,12.115,12.046,12.116,57520.746843,12.116
2018-06-01 12:20:00,12.148,12.106,12.093745,12.115,23031.466894,12.115
2018-06-01 12:25:00,12.112,12.095666,12.045,12.077,27761.952873,12.077
2018-06-01 12:30:00,12.122,12.08,12.048,12.077,49352.350876,12.077
2018-06-01 12:35:00,12.079,12.073,12.05,12.05,7915.74289,12.05
2018-06-01 12:40:00,12.058,12.045,12.033,12.036,6649.141428,12.036
2018-06-01 12:45:00,12.107,12.042,12.03,12.086,60706.070427,12.086
2018-06-01 12:50:00,12.076,12.076,12.031,12.031,5135.656198,12.031
2018-06-01 12:55:00,12.067,12.052,12.032,12.067,2963.864737,12.067
2018-06-01 13:00:00,12.072,12.053,12.039,12.068,10581.976477,12.068
2018-06-01 13:05:00,12.071,12.071,12.037,12.04,10795.93284,12.04
2018-06-01 13:10:00,12.053,12.046,12.04,12.044,5526.021406,12.044
2018-06-01 13:15:00,12.072,12.043,12.042,12.062,3836.821844,12.062
2018-06-01 13:20:00,12.062,12.062,12.05,12.05,2501.35667,12.05
2018-06-01 13:25:00,12.05,12.05,12.043,12.047,2841.5684,12.047
2018-06-01 13:30:00,12.045,12.045,12.031,12.045,31879.544259,12.045
2018-06-01 13:35:00,12.045,12.034,12.03,12.045,11237.864923,12.045
2018-06-01 13:40:00,12.045,12.032,12.03,12.036,6124.897259,12.036
2018-06-01 13:45:00,12.04113,12.039,11.95,11.971,17259.355448,11.971
2018-06-01 13:50:00,12.045,11.965,11.948071,12.045,22445.316184,12.045
2018-06-01 13:55:00,12.081,12.045,12.032,12.08,14031.31684,12.08
2018-06-01 14:00:00,12.073755,12.068,12.035,12.054,2733.075097,12.054
2018-06-01 14:05:00,12.052,12.052,12.041,12.05,40271.81044,12.05
2018-06-01 14:10:00,12.064,12.05,12.034,12.049,14030.937118,12.049
2018-06-01 14:15:00,12.225,12.046,12.036,12.192,62842.498123,12.192
2018-06-01 14:20:00,12.2,12.189,12.163,12.2,10337.403719,12.2
2018-06-01 14:25:00,12.249,12.2,12.158,12.178,37821.363238,12.178
2018-06-01 14:30:00,12.195,12.183,12.174,12.174,11633.929085,12.174
2018-06-01 14:35:00,12.228,12.171,12.17,12.228,38754.290366,12.228
2018-06-01 14:40:00,12.244,12.228,12.197,12.201,6154.777179,12.201
2018-06-01 14:45:00,12.203,12.201,12.181,12.189,4234.155102,12.189
2018-06-01 14:50:00,12.198,12.198,12.194,12.194,3423.748613,12.194
2018-06-01 14:55:00,12.2,12.2,12.18,12.183,3499.854892,12.183
2018-06-01 15:00:00,12.25,12.19,12.189,12.25,13342.527492,12.25
