,strategyID,symbol,signal_tb,qty_mysql,tb_position
63,OK_FG_HOUR,OKEX--BTC--USDT,1.0,0.0,0.06738538567533396
64,OK_MOM_DAY,HUOBI--BTC--USDT,0.0,0.0,0.26954154270133585
65,OK_BOLLINE_SEN,HUOBI--BTC--USDT,1.0,0.0,0.26954154270133585
66,OK_BOLLINE_NOTSEN,HUOBI--BTC--USDT,1.0,0.0,0.26954154270133585
67,OK_DMA_HOUR,HUOBI--BTC--USDT,1.0,0.0,0.26954154270133585
68,OK_DMA_DAY,HUOBI--BTC--USDT,0.0,0.0,0.26954154270133585
69,OK_FG_HOUR,HUOBI--BTC--USDT,1.0,0.0,0.26954154270133585
70,OK_FG_DAY,HUOBI--BTC--USDT,1.0,0.0,0.26954154270133585
71,OK_MOM_DAY,OKEX--XRP--USDT,0.0,0.0,947.4994546247821
72,OK_BOLLINE_SEN,OKEX--XRP--USDT,1.0,0.0,947.4994546247821
73,OK_BOLLINE_NOTSEN,OKEX--XRP--USDT,1.0,0.0,947.4994546247821
74,OK_DMA_HOUR,OKEX--XRP--USDT,1.0,0.0,947.4994546247821
75,OK_DMA_DAY,OKEX--XRP--USDT,0.0,0.0,947.4994546247821
76,OK_FG_HOUR,OKEX--XRP--USDT,1.0,0.0,947.4994546247821
77,OK_MOM_DAY,OKEX--LTC--USDT,0.0,0.0,3.88425020032338
78,OK_BOLLINE_SEN,OKEX--LTC--USDT,1.0,0.0,3.88425020032338
79,OK_BOLLINE_NOTSEN,OKEX--LTC--USDT,1.0,0.0,3.88425020032338
80,OK_DMA_HOUR,OKEX--LTC--USDT,1.0,0.0,3.88425020032338
81,OK_DMA_DAY,OKEX--LTC--USDT,0.0,0.0,3.88425020032338
82,OK_FG_HOUR,OKEX--LTC--USDT,1.0,0.0,3.88425020032338
83,OK_FG_DAY,OKEX--LTC--USDT,0.0,0.0,3.88425020032338
84,OK_MOM_DAY,HUOBI--BCH--USDT,0.0,0.0,1.9649554379297869
85,OK_BOLLINE_SEN,HUOBI--BCH--USDT,1.0,0.0,1.9649554379297869
86,OK_BOLLINE_NOTSEN,HUOBI--BCH--USDT,1.0,0.0,1.9649554379297869
87,OK_DMA_HOUR,HUOBI--BCH--USDT,1.0,0.0,1.9649554379297869
88,OK_DMA_DAY,HUOBI--BCH--USDT,0.0,0.0,1.9649554379297869
89,OK_FG_HOUR,HUOBI--BCH--USDT,1.0,0.0,1.9649554379297869
90,OK_FG_DAY,HUOBI--BCH--USDT,0.0,0.0,1.9649554379297869
91,OK_MOM_DAY,HUOBI--XRP--USDT,0.0,0.0,3789.9978184991282
