ts,symbol,open,high,low,close,quantity
2018-06-20 16:00:00, BINA--BTC--USDT, 6627.94, 6638.0, 6616.51, 6633.99, 825.85583
2018-06-26 09:00:00, BINA--BTC--USDT, 6187.3, 6234.0, 6182.3, 6227.99, 1026.16161
2018-06-27 20:00:00, BINA--BTC--USDT, 6092.0, 6100.0, 6051.26, 6087.84, 627.6264
2018-07-04 08:00:00, BINA--BTC--USDT, 6511.01, 6524.6, 6441.11, 6481.69, 1543.484402
2018-06-20 16:00:00, BINA--ETH--USDT, 525.25, 526.55, 523.37, 525.84, 4404.11177
2018-06-26 09:00:00, BINA--ETH--USDT, 453.22, 456.59, 452.84, 455.92, 4436.64144
2018-06-27 20:00:00, BINA--ETH--USDT, 434.2, 435.0, 431.0, 432.34, 3102.85964
2018-07-04 08:00:00, BINA--ETH--USDT, 461.78, 464.32, 458.02, 460.63, 2287.1044
ts,symbol,open,high,low,close,quantity
2018-06-20 16:00:00, BINA--LTC--USDT, 96.46, 96.58, 95.83, 96.07, 5945.91714
2018-06-26 09:00:00, BINA--LTC--USDT, 80.95, 81.8, 80.74, 81.44, 8183.02484
2018-06-27 20:00:00, BINA--LTC--USDT, 78.68, 78.83, 77.9, 78.52, 5825.18775
2018-07-04 08:00:00, BINA--LTC--USDT, 84.87, 85.3, 84.13, 84.53, 3469.04919
2018-06-26 09:00:00, BINA--EOS--USDT, 8.0358, 8.2, 8.0165, 8.1636, 347557.9
2018-06-27 20:00:00, BINA--EOS--USDT, 7.6422, 7.6995, 7.5677, 7.6693, 359990.93
2018-07-04 08:00:00, BINA--EOS--USDT, 8.8336, 8.8538, 8.7092, 8.7502, 94711.12
2018-06-26 09:00:00, BINA--XRP--USDT, 0.47513, 0.48, 0.474, 0.47879, 1081063.4
2018-06-27 20:00:00, BINA--XRP--USDT, 0.46277, 0.46312, 0.45835, 0.46103, 1194687.2
2018-07-04 08:00:00, BINA--XRP--USDT, 0.48469, 0.48599, 0.48028, 0.48214, 461357.7
2018-06-26 09:00:00, BINA--ETC--USDT, 15.465, 15.7029, 15.3501, 15.6993, 25955.11
